,sido,sigungu,cityGubun,marketType,userType,ageGroup,gender,dtYearMonth,userCount,useCount,useCost
267,제주도,제주시,도심,소매,제주도민,40대,여,201812,10234,16491,1491994178
268,제주도,제주시,도심,소매,제주도민,40대,남,201812,8451,13173,1225929587
269,제주도,제주시,도심,소매,제주도민,30대,여,201812,6865,10606,750155871
270,제주도,제주시,도심,소매,제주도민,30대,남,201812,5594,8102,642098196
271,제주도,제주시,도심,소매,제주도민,20대미만,여,201812,449,701,19917133
272,제주도,제주시,도심,소매,제주도민,20대미만,남,201812,294,391,14259627
273,제주도,제주시,도심,소매,제주도민,20대,여,201812,4898,7142,399693376
274,제주도,제주시,도심,소매,제주도민,20대,남,201812,3511,5122,342044113
275,제주도,제주시,도심,소매,내국인관광객,60대이상,여,201812,2140,2622,166497679
276,제주도,제주시,도심,소매,내국인관광객,60대이상,남,201812,2664,3215,217688440
277,제주도,제주시,도심,소매,내국인관광객,50대,여,201812,4187,5163,292748713
278,제주도,제주시,도심,소매,내국인관광객,50대,남,201812,5518,6746,347418012
279,제주도,제주시,도심,소매,내국인관광객,40대,여,201812,4970,6250,292460152
280,제주도,제주시,도심,소매,내국인관광객,40대,남,201812,5899,7438,357681000
281,제주도,제주시,도심,소매,내국인관광객,30대,여,201812,6053,7661,267752588
282,제주도,제주시,도심,소매,내국인관광객,30대,남,201812,6219,7743,321956855
283,제주도,제주시,도심,소매,내국인관광객,20대미만,여,201812,244,312,6654800
284,제주도,제주시,도심,소매,내국인관광객,20대미만,남,201812,224,273,12858450
285,제주도,제주시,도심,소매,내국인관광객,20대,여,201812,7623,9729,267383947
286,제주도,제주시,도심,소매,내국인관광객,20대,남,201812,4694,5929,183468149
287,제주도,제주시,도심,문화/레져,제주도민,60대이상,여,201812,723,954,43761315
288,제주도,제주시,도심,문화/레져,제주도민,60대이상,남,201812,1481,2173,114074243
289,제주도,제주시,도심,문화/레져,제주도민,50대,여,201812,2330,3511,121853843
290,제주도,제주시,도심,문화/레져,제주도민,50대,남,201812,3445,5216,258571557
291,제주도,제주시,도심,문화/레져,제주도민,40대,여,201812,5783,8951,255991374
292,제주도,제주시,도심,문화/레져,제주도민,40대,남,201812,5755,8993,293794492
293,제주도,제주시,도심,문화/레져,제주도민,30대,여,201812,4642,6932,167153521
294,제주도,제주시,도심,문화/레져,제주도민,30대,남,201812,4312,7467,177800262
295,제주도,제주시,도심,문화/레져,제주도민,20대미만,여,201812,652,1105,10999380
296,제주도,제주시,도심,문화/레져,제주도민,20대미만,남,201812,979,3725,29304293
297,제주도,제주시,도심,문화/레져,제주도민,20대,여,201812,4373,7516,115637375
298,제주도,제주시,도심,문화/레져,제주도민,20대,남,201812,5696,18259,174029455
299,제주도,제주시,도심,문화/레져,내국인관광객,60대이상,여,201812,191,259,8986910
300,제주도,제주시,도심,문화/레져,내국인관광객,60대이상,남,201812,365,469,27837378
301,제주도,제주시,도심,문화/레져,내국인관광객,50대,여,201812,450,593,22504611
302,제주도,제주시,도심,문화/레져,내국인관광객,50대,남,201812,980,1356,70782520
303,제주도,제주시,도심,문화/레져,내국인관광객,40대,여,201812,864,1213,29942292
304,제주도,제주시,도심,문화/레져,내국인관광객,40대,남,201812,1380,2254,68461524
305,제주도,제주시,도심,문화/레져,내국인관광객,30대,여,201812,956,1355,28549214
306,제주도,제주시,도심,문화/레져,내국인관광객,30대,남,201812,1498,2543,53817587
307,제주도,제주시,도심,문화/레져,내국인관광객,20대미만,여,201812,64,115,765270
308,제주도,제주시,도심,문화/레져,내국인관광객,20대미만,남,201812,130,364,3328500
309,제주도,제주시,도심,문화/레져,내국인관광객,20대,여,201812,1303,2066,27136730
310,제주도,제주시,도심,문화/레져,내국인관광객,20대,남,201812,2037,5512,48363960
311,제주도,제주시,도심,교통,제주도민,60대이상,여,201812,3330,4602,315929713
312,제주도,제주시,도심,교통,제주도민,60대이상,남,201812,6972,10797,774914683
313,제주도,제주시,도심,교통,제주도민,50대,여,201812,6271,8818,543604041
314,제주도,제주시,도심,교통,제주도민,50대,남,201812,9818,15033,955434106
315,제주도,제주시,도심,교통,제주도민,40대,여,201812,7137,10052,566107425
316,제주도,제주시,도심,교통,제주도민,40대,남,201812,10425,15979,910548389
317,제주도,제주시,도심,교통,제주도민,30대,여,201812,4859,6554,318070602
318,제주도,제주시,도심,교통,제주도민,30대,남,201812,7071,10173,506279724
319,제주도,제주시,도심,교통,제주도민,20대미만,여,201812,32,30,1088993
320,제주도,제주시,도심,교통,제주도민,20대미만,남,201812,49,65,1822502
321,제주도,제주시,도심,교통,제주도민,20대,여,201812,2365,2927,123136292
322,제주도,제주시,도심,교통,제주도민,20대,남,201812,3348,4566,184249307
323,제주도,제주시,도심,교통,내국인관광객,60대이상,여,201812,1213,1415,113520500
324,제주도,제주시,도심,교통,내국인관광객,60대이상,남,201812,2713,3201,307446543
325,제주도,제주시,도심,교통,내국인관광객,50대,여,201812,3605,4009,349862624
326,제주도,제주시,도심,교통,내국인관광객,50대,남,201812,7137,8333,713661875
327,제주도,제주시,도심,교통,내국인관광객,40대,여,201812,5080,5694,532932776
328,제주도,제주시,도심,교통,내국인관광객,40대,남,201812,8804,10291,839732240
